id,text,label_level1,label_level2,label_level3,text_length,intent_complexity,sample_type,keywords,confidence_score
109,信用卡激活期限是多久,信贷服务,信用卡服务,信用卡激活,短文本,简单,short,"信用卡激活, 信用卡",0.98
604,请问企业开户怎么操作,账户服务,开户注销,企业开户,短文本,简单,short,"企业开户, 开户",0.98
1906,我想了解赎回费的相关信息,产品咨询,费用说明,赎回费,短文本,简单,short,赎回费,0.97
1277,授信管理需要什么条件,信贷服务,额度管理,授信管理,短文本,简单,short,"授信管理, 条件",0.94
241,预期收益型的具体流程是什么,投资理财,理财产品,预期收益型,短文本,简单,short,"预期收益型, 收益, 流程",0.95
1847,风险评估怎么做,投资理财,资产配置,风险评估,短文本,简单,short,"风险评估, 风险",0.95
128,我想了解承受能力的相关信息,风险合规,风险评估,承受能力,短文本,简单,short,承受能力,0.95
841,我对保险理赔很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,保险规划,保险理赔,中等文本,简单,medium,"保险理赔, 保险, 办理, 流程",0.93
545,请问办卡申请怎么操作,信贷服务,信用卡服务,办卡申请,短文本,简单,short,"办卡申请, 申请",0.83
1912,请问持仓分析怎么操作,投资理财,股票投资,持仓分析,短文本,简单,short,持仓分析,0.81
714,请问产品公告和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,风险合规,信息披露,产品公告,中等文本,简单,medium,产品公告,0.84
1516,请问美股交易和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,股票投资,美股交易,中等文本,简单,medium,美股交易,0.9
233,请问短信验证和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,账户服务,安全验证,短信验证,中等文本,简单,medium,短信验证,0.87
1794,请问货币基金怎么操作,投资理财,基金投资,货币基金,短文本,简单,short,"货币基金, 基金",0.96
295,请问大额存单和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,理财产品,大额存单,中等文本,简单,medium,大额存单,0.85
221,行内转账多久到账,交易服务,转账汇款,行内转账,短文本,简单,short,"行内转账, 转账",1.0
480,我想了解短信验证的相关信息,账户服务,安全验证,短信验证,短文本,简单,short,短信验证,0.81
1720,我想了解额度调整的相关信息,信贷服务,额度管理,额度调整,短文本,简单,short,"额度调整, 额度",0.81
1804,贷款审批需要什么条件,信贷服务,企业贷款,贷款审批,短文本,简单,short,"贷款审批, 贷款, 条件",0.84
1294,请问费用对比和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,产品咨询,产品对比,费用对比,中等文本,中等,medium,费用对比,0.92
1146,请问持仓分析和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,股票投资,持仓分析,中等文本,简单,medium,持仓分析,0.82
340,个人消费贷怎么申请,信贷服务,个人贷款,消费贷,短文本,简单,short,"消费贷, 申请",0.86
637,我对合规要求很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,风险合规,合规咨询,合规要求,中等文本,简单,medium,"合规要求, 办理, 流程",0.85
428,请问实名认证和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,账户服务,安全验证,实名认证,中等文本,中等,medium,实名认证,0.81
1474,产品公告需要什么条件,风险合规,信息披露,产品公告,短文本,简单,short,"产品公告, 条件",0.93
