id,text,label_level1,label_level2,label_level3,text_length,intent_complexity,sample_type,keywords,confidence_score
0,"净值型理财的具体流程是什么","投资理财","理财产品","净值型理财","短文本","简单","short","净值型理财, 理财, 流程",0.93
1,"我对身份识别很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","风险合规","合规咨询","身份识别","中等文本","中等","medium","身份识别, 办理, 流程",0.90
2,"请问经营贷和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","信贷服务","个人贷款","经营贷","中等文本","中等","medium","经营贷",0.80
3,"委托授权的具体流程是什么","账户服务","权限设置","委托授权","短文本","简单","short","委托授权, 流程",0.93
4,"人脸识别需要什么条件","账户服务","安全验证","人脸识别","短文本","简单","short","人脸识别, 条件",0.95
5,"监管政策需要什么条件","风险合规","合规咨询","监管政策","短文本","简单","short","监管政策, 条件",0.82
6,"请问进取型产品和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","产品咨询","产品推荐","进取型产品","中等文本","中等","medium","进取型产品",0.96
7,"热门产品的具体流程是什么","产品咨询","产品推荐","热门产品","短文本","简单","short","热门产品, 流程",0.94
8,"请问贸易融资和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","信贷服务","企业贷款","贸易融资","中等文本","中等","medium","贸易融资",0.98
9,"请问人脸识别怎么操作","账户服务","安全验证","人脸识别","短文本","简单","short","人脸识别",0.99
10,"请问结构性存款怎么操作","投资理财","理财产品","结构性存款","短文本","简单","short","结构性存款, 存款",0.93
11,"请问担保方式和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","信贷服务","额度管理","担保方式","中等文本","简单","medium","担保方式",0.96
12,"请问身份识别和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","风险合规","合规咨询","身份识别","中等文本","简单","medium","身份识别",0.97
13,"贷款计算的具体流程是什么","信贷服务","个人贷款","贷款计算","短文本","简单","short","贷款计算, 贷款, 流程",0.84
14,"指数基金怎么选","投资理财","基金投资","指数基金","短文本","简单","short","指数基金, 基金",0.80
15,"请问港股通怎么操作","投资理财","股票投资","港股通","短文本","简单","short","港股通",0.87
16,"我想了解管理费的相关信息","产品咨询","费用说明","管理费","短文本","简单","short","管理费",0.95
17,"我对银行理财很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","投资理财","理财产品","银行理财","中等文本","简单","medium","银行理财, 理财, 办理, 流程",0.87
18,"我对办卡申请很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","信贷服务","信用卡服务","办卡申请","中等文本","简单","medium","办卡申请, 申请, 办理, 流程",0.85
19,"请问结构性存款怎么操作","投资理财","理财产品","结构性存款","短文本","简单","short","结构性存款, 存款",0.95
20,"固定资产贷款需要什么条件","信贷服务","企业贷款","固定资产贷款","短文本","简单","short","固定资产贷款, 贷款, 条件",0.83
21,"信息披露查询的具体流程是什么","风险合规","信息披露","信息披露查询","短文本","简单","short","信息披露查询, 查询, 流程",0.88
22,"请问固定资产贷款怎么操作","信贷服务","企业贷款","固定资产贷款","短文本","简单","short","固定资产贷款, 贷款",0.87
23,"请问权限冻结怎么操作","账户服务","权限设置","权限冻结","短文本","简单","short","权限冻结",0.92
